종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000010,신한은행,9.82,0.63,0.0,0.0,0.0,53096.94,1452.43,0.0,0.0,6.44,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000020,동화약품,0.96,0.6,0.0,0.05,0.77,2.57,59.97,107.29,107.29,62.51,6.78,-98.09,0.0,0.0,496394309778.0,0.773,19.55,0.0,0.3421,0.0,1598.93,0.0,0.0,0.0,6080,169800000000
000030,우리은행,8.7,0.51,0.0,0.0,0.0,35207.42,1593.8,0.0,0.0,5.9,0.0,-13.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000040,KR모터스,-4.34,-2.01,0.0,-20.92,-13.72,-28.92,115.69,63.3,63.3,46.36,-13.75,41.43,0.0,0.0,13820791334.0,0.1467,0.0,0.0,2.9665,0.0,0.0,0.0,0.0,0.0,475,41000000000
000050,경방,5.84,3.77,0.0,11.15,11.49,459.93,54.67,70.48,70.48,64.65,3.83,37.5,0.0,0.0,412475877463.0,0.3285,5.8,0.0,0.666,0.0,15.62,0.0,0.0,0.0,10020,274700000000
000060,메리츠화재해상보험,28.81,3.8,0.0,0.0,0.0,22865.2,657.16,0.0,0.0,13.21,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000070,삼양홀딩스,-11.24,-5.65,0.0,3.25,-8.9,1087.66,98.76,122.46,122.46,50.31,-1.95,0.68,0.0,0.0,3348286833611.0,0.6351,0.0,0.0,0.1598,0.0,29.0,0.0,0.0,0.0,68900,534900000000
000080,하이트진로,3.6,1.26,0.0,6.9,1.65,1723.39,186.52,62.78,62.78,34.9,-3.87,-17.2,0.0,0.0,2498566821284.0,0.7635,30.03,0.0,0.4906,0.0,19.47,0.0,0.0,0.0,17480,1225900000000
000100,유한양행,7.84,5.75,0.0,4.77,8.48,1043.74,36.35,206.07,206.07,73.34,5.75,90.19,0.0,0.0,2186637586358.0,0.6789,40.81,0.0,3.5514,0.0,82.63,0.0,0.0,0.0,97500,7765600000000
000110,한국스탠다드차타드은행,2.6,0.15,0.0,0.0,0.0,3367.77,1592.92,0.0,0.0,5.91,0.0,-36.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000120,CJ대한통운,5.83,2.5,0.0,4.14,2.11,5080.81,132.88,88.51,88.51,42.94,1.39,-4.26,0.0,0.0,12284652471280.0,1.1882,10.06,0.0,0.1983,0.0,16.41,0.0,0.0,0.0,106800,2436400000000
000140,하이트진로홀딩스,1.39,0.41,0.0,7.38,0.64,1832.53,242.77,50.32,50.32,29.17,-3.89,-17.38,0.0,0.0,2484504029642.0,0.6357,0.0,0.0,0.086,0.0,16.27,0.0,0.0,0.0,9210,213700000000
000150,두산,2.04,0.76,0.0,5.37,1.26,10627.15,169.14,103.19,103.19,37.16,9.11,5.87,0.0,0.0,19784138000000.0,0.6008,375.07,0.0,1.0886,0.0,39.74,0.0,0.0,0.0,1330000,21537800000000
000180,성창기업지주,-3.05,-2.4,0.0,-5.45,-16.22,-69.28,27.13,85.19,85.19,78.66,-11.1,5.01,0.0,0.0,127218274093.0,0.1477,0.0,0.0,0.7892,0.0,0.0,0.0,0.0,0.0,1440,100400000000
0001A0,덕양에너젠,10.63,4.48,0.0,4.67,3.15,66.8,137.33,49.84,49.84,42.14,4.24,10.94,0.0,0.0,143195229364.0,1.4205,71.12,0.0,3.0902,0.0,74.97,0.0,0.0,0.0,17850,442500000000
000210,DL,-1.96,-0.79,0.0,5.6,-1.81,2985.46,147.55,120.84,120.84,40.4,-5.14,-27.63,0.0,0.0,5326721292281.0,0.4373,0.0,0.0,0.2542,0.0,28.86,0.0,0.0,0.0,64600,1353800000000
000220,유유제약,6.49,4.4,0.0,7.82,6.47,110.19,47.44,164.41,164.41,67.82,5.81,-5.8,0.0,0.0,140884666972.0,0.6799,10.49,0.0,0.5267,0.0,12.78,0.0,0.0,0.0,4355,74200000000
000230,일동홀딩스,6.24,2.69,0.0,2.53,3.65,149.25,132.32,76.54,76.54,43.04,-6.9,469.93,0.0,0.0,590889546403.0,0.736,11.08,0.0,0.2049,0.0,38.75,0.0,0.0,0.0,10490,121100000000
000240,한국앤컴퍼니,7.26,6.6,0.0,28.24,23.82,4116.26,10.01,235.27,235.27,90.9,4.78,-1.59,0.0,0.0,1457551700261.0,0.2771,6.83,0.0,1.6283,0.0,6.93,0.0,0.0,0.0,25000,2373400000000
000250,삼천당제약,3.31,2.14,0.0,3.65,5.19,84.67,54.36,226.85,226.85,64.78,9.9,220.46,0.0,0.0,231805277738.0,0.413,2167.41,0.0,49.13,0.0,1368.48,0.0,0.0,0.0,485500,11388600000000
000270,기아,12.35,7.63,0.0,7.95,6.62,90781.48,61.76,156.55,156.55,61.82,6.23,-28.33,0.0,0.0,114140919000000.0,1.1532,8.33,0.0,0.5445,0.0,11.01,0.0,0.0,0.0,159200,62153700000000
000300,DH오토넥스,17.93,11.23,0.0,0.0,0.0,32.28,59.58,188.11,188.11,62.66,0.0,162.69,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,59.84,0.0,0.0,0.0,4200,174000000000
000320,노루홀딩스,7.21,4.58,0.0,5.21,4.72,645.08,57.57,183.38,183.38,63.46,-0.69,-11.09,0.0,0.0,1239267844107.0,0.9687,9.35,0.0,0.2402,0.0,11.86,0.0,0.0,0.0,22400,297700000000
000370,한화손해보험,10.8,1.43,0.0,0.0,0.0,4295.93,656.87,0.0,0.0,13.21,0.0,-1.41,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,43.23,0.0,0.0,0.0,6730,785700000000
000390,삼화페인트공업,2.29,1.25,0.0,1.55,1.26,95.49,82.27,150.09,150.09,54.86,-1.8,-49.69,0.0,0.0,617067546154.0,0.9944,33.58,0.0,0.4175,0.0,56.3,0.0,0.0,0.0,9470,257600000000
000400,롯데손해보험,8.37,0.36,0.0,0.0,0.0,647.36,2248.85,0.0,0.0,4.26,0.0,108.42,0.0,0.0,0.0,0.0,13.24,0.0,0.0,0.0,223.6,0.0,0.0,0.0,2185,678100000000
000430,대원강업,6.3,3.17,0.0,2.94,2.88,470.07,98.48,94.7,94.7,50.38,16.93,108.32,0.0,0.0,1599072177000.0,1.1033,7.57,0.0,0.1723,0.0,21.16,0.0,0.0,0.0,4445,275600000000
000440,중앙에너비스,-2.14,-2.03,0.0,-3.52,-2.25,-17.44,5.74,801.45,801.45,94.57,-0.44,0.13,0.0,0.0,49592330053.0,0.9018,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,21500,133900000000
000480,시알홀딩스,-2.33,-1.2,0.0,3.36,-2.27,278.24,93.66,103.95,103.95,51.64,2.09,59.55,0.0,0.0,827752427000.0,0.5289,0.0,0.0,0.2884,0.0,35.79,0.0,0.0,0.0,5090,238700000000
000490,대동,-4.62,-1.31,0.0,2.1,-2.01,312.25,251.89,99.63,99.63,28.42,4.88,69.18,0.0,0.0,1484722098136.0,0.6526,0.0,0.0,0.1978,0.0,61.56,0.0,0.0,0.0,10190,293700000000
0004V0,엔비알모션,-35.61,-14.19,0.0,-6.23,-19.41,-39.28,150.94,99.41,99.41,39.85,-1.17,4.26,0.0,0.0,63094455574.0,0.731,0.0,0.0,3.7848,0.0,0.0,0.0,0.0,0.0,22950,238800000000
0004Y0,디비금융제14호스팩,-0.18,-0.16,0.0,0.0,0.0,-0.59,14.92,2174835.48,2174835.48,87.02,0.0,-856.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040,10800000000
000500,가온전선,10.62,3.73,0.0,3.11,2.02,791.92,184.82,130.2,130.2,35.11,47.4,75.94,0.0,0.0,2545698074000.0,1.8475,45.63,0.0,0.954,0.0,41.96,0.0,0.0,0.0,146800,2428500000000
000520,삼일제약,-26.01,-9.33,0.0,-10.56,-16.49,-222.12,178.85,44.26,44.26,35.86,-4.3,-19749.45,0.0,0.0,210253472993.0,0.5658,0.0,0.0,1.0378,0.0,0.0,0.0,0.0,0.0,10060,218200000000
000540,흥국화재,18.13,1.21,0.0,0.0,0.0,1875.04,1393.92,0.0,0.0,6.69,0.0,26.03,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,63.73,0.0,0.0,0.0,4425,284300000000
000590,CS홀딩스,5.33,4.94,0.0,14.99,15.57,202.15,8.04,1414.04,1414.04,92.56,-4.99,-9.41,0.0,0.0,134870815287.0,0.317,5.26,0.0,0.6747,0.0,6.07,0.0,0.0,0.0,78800,91000000000
000640,동아쏘시오홀딩스,7.94,4.4,0.0,6.84,6.4,977.73,80.57,74.77,74.77,55.38,7.24,19.1,0.0,0.0,1429766810735.0,0.6876,7.25,0.0,0.461,0.0,16.23,0.0,0.0,0.0,97900,659100000000
000650,천일고속,-58.68,-10.5,0.0,-13.04,-12.35,-59.41,458.61,12.43,12.43,17.9,1.86,-12.74,0.0,0.0,45550266479.0,0.8509,0.0,0.0,6.9352,0.0,0.0,0.0,0.0,0.0,221000,315900000000
000660,SK하이닉스,35.59,24.39,0.0,48.59,44.21,472063.19,45.95,185.82,185.82,68.52,46.76,101.16,0.0,0.0,97146675000000.0,0.5516,19.13,0.0,8.2754,0.0,18.2,0.0,0.0,0.0,1128000,803928300000000
000670,영풍,0.77,0.51,0.0,-8.93,1.06,-2596.89,49.37,96.09,96.09,66.95,4.36,-61.6,0.0,0.0,2908974321148.0,0.4846,0.0,0.0,0.4172,0.0,0.0,0.0,0.0,0.0,65200,1213600000000
000680,LS네트웍스,-1.49,-0.16,0.0,0.85,-0.73,222.87,814.38,97.09,97.09,10.94,35.24,-26.17,0.0,0.0,2615245130367.0,0.2238,0.0,0.0,0.1047,0.0,479.25,0.0,0.0,0.0,3475,273800000000
000700,유수홀딩스,4.06,3.49,0.0,5.07,4.0,212.2,16.38,475.75,475.75,85.92,-3.99,15.86,0.0,0.0,418474161915.0,0.8724,36.14,0.0,0.3957,0.0,10.99,0.0,0.0,0.0,6360,165600000000
000720,현대건설,5.53,2.01,0.0,2.1,1.8,6530.06,174.82,147.94,147.94,36.39,-4.92,151.69,0.0,0.0,31062912000000.0,1.1177,53.31,0.0,0.6345,0.0,57.26,0.0,0.0,0.0,177000,19710000000000
000760,이화산업,-1.04,-0.79,0.0,-0.35,-4.62,-1.64,31.58,128.03,128.03,76.0,-6.53,-121.25,0.0,0.0,46255096115.0,0.1716,0.0,0.0,1.0075,0.0,0.0,0.0,0.0,0.0,16660,46600000000
0007C0,아크릴,-6.42,-5.51,0.0,-16.93,-21.09,-22.54,16.43,778.86,778.86,85.89,-0.83,5.53,0.0,0.0,13312020352.0,0.2613,0.0,0.0,24.369,0.0,0.0,0.0,0.0,0.0,40400,324400000000
0007J0,인벤테라,-56.4,-52.19,0.0,0.0,0.0,-86.04,8.07,2468.53,2468.53,92.53,0.0,-35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22450,176600000000
000800,경남기업,24.74,10.36,0.0,15.86,17.89,625.77,138.89,160.7,160.7,41.86,-20.01,64.5,0.0,0.0,394516845880.0,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
000810,삼성화재해상보험,9.49,2.09,0.0,0.0,0.0,26591.43,352.98,0.0,0.0,22.08,0.0,0.36,0.0,0.0,0.0,0.0,11.79,0.0,0.0,0.0,36.32,0.0,0.0,0.0,480000,21430800000000
000850,화천기공,3.35,2.71,0.0,1.9,5.13,42.17,23.85,308.23,308.23,80.74,-0.2,668.98,0.0,0.0,221755533963.0,0.5275,7.23,0.0,0.3711,0.0,38.71,0.0,0.0,0.0,37400,82300000000
000860,강남제비스코,0.13,0.1,0.0,1.39,0.15,82.95,37.42,150.86,150.86,72.77,-6.93,-59.6,0.0,0.0,598552862276.0,0.6145,0.0,0.0,0.3166,0.0,54.82,0.0,0.0,0.0,14580,189500000000
000880,한화,4.11,0.69,0.0,5.55,2.66,41468.83,497.35,132.69,132.69,16.74,34.39,71.63,0.0,0.0,74785440000000.0,0.2585,33.41,0.0,0.1319,0.0,60.47,0.0,0.0,0.0,131600,9864600000000
